"Tabela 4093 - Pessoas de 14 anos ou mais de idade, total, na força de trabalho, ocupadas, desocupadas, fora da força de trabalho, e respectivas taxas e níveis, por sexo"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Trimestre x Sexo"
"Brasil, Grande Região e Unidade da Federação";"1º trimestre 2018";"2º trimestre 2018";"3º trimestre 2018";"4º trimestre 2018";"1º trimestre 2019";"2º trimestre 2019";"3º trimestre 2019";"4º trimestre 2019";"1º trimestre 2020";"2º trimestre 2020";"3º trimestre 2020";"4º trimestre 2020";"1º trimestre 2021";"2º trimestre 2021";"3º trimestre 2021";"4º trimestre 2021"
"Brasil, Grande Região e Unidade da Federação";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total"
"Brasil";"13872";"13148";"12694";"12413";"13651";"13011";"12798";"11903";"13148";"13228";"14598";"14412";"15257";"14832";"13453";"12011"
"Norte";"1043";"994";"962";"981";"1092";"999";"1003";"897";"1011";"...";"...";"...";"...";"...";"...";"..."
"Nordeste";"3973";"3688";"3647";"3642";"3859";"3716";"3684";"3468";"3941";"...";"...";"...";"...";"...";"...";"..."
"Sudeste";"6610";"6355";"6050";"5873";"6421";"6072";"5866";"5587";"6027";"...";"...";"...";"...";"...";"...";"..."
"Sul";"1355";"1304";"1269";"1187";"1332";"1315";"1341";"1122";"1238";"...";"...";"...";"...";"...";"...";"..."
"Centro-Oeste";"892";"807";"766";"731";"949";"910";"904";"828";"930";"...";"...";"...";"...";"...";"...";"..."
"Rondônia";"90";"69";"77";"80";"79";"60";"74";"72";"76";"...";"...";"...";"...";"...";"...";"..."
"Acre";"53";"48";"48";"49";"65";"49";"47";"49";"47";"...";"...";"...";"...";"...";"...";"..."
"Amazonas";"251";"254";"240";"267";"296";"265";"257";"248";"279";"...";"...";"...";"...";"...";"...";"..."
"Roraima";"25";"28";"33";"36";"39";"38";"37";"38";"42";"...";"...";"...";"...";"...";"...";"..."
"Pará";"465";"434";"424";"397";"445";"435";"444";"360";"417";"...";"...";"...";"...";"...";"...";"..."
"Amapá";"80";"80";"70";"75";"78";"69";"66";"62";"67";"...";"...";"...";"...";"...";"...";"..."
"Tocantins";"78";"81";"70";"77";"90";"84";"78";"67";"84";"...";"...";"...";"...";"...";"...";"..."
"Maranhão";"423";"376";"367";"379";"429";"388";"382";"330";"431";"...";"...";"...";"...";"...";"...";"..."
"Piauí";"187";"194";"182";"181";"188";"191";"199";"200";"202";"...";"...";"...";"...";"...";"...";"..."
"Ceará";"530";"479";"444";"420";"476";"459";"478";"437";"513";"...";"...";"...";"...";"...";"...";"..."
"Rio Grande do Norte";"229";"202";"204";"211";"214";"195";"210";"199";"244";"...";"...";"...";"...";"...";"...";"..."
"Paraíba";"203";"188";"190";"194";"189";"207";"193";"206";"232";"...";"...";"...";"...";"...";"...";"..."
"Pernambuco";"759";"723";"719";"664";"696";"681";"674";"601";"611";"...";"...";"...";"...";"...";"...";"..."
"Alagoas";"206";"202";"205";"193";"194";"186";"193";"165";"204";"...";"...";"...";"...";"...";"...";"..."
"Sergipe";"178";"174";"183";"161";"165";"169";"162";"168";"171";"...";"...";"...";"...";"...";"...";"..."
"Bahia";"1258";"1149";"1155";"1239";"1307";"1240";"1194";"1162";"1333";"...";"...";"...";"...";"...";"...";"..."
"Minas Gerais";"1419";"1227";"1105";"1093";"1257";"1096";"1149";"1098";"1320";"...";"...";"...";"...";"...";"...";"..."
"Espírito Santo";"264";"257";"241";"220";"266";"242";"233";"227";"243";"...";"...";"...";"...";"...";"...";"..."
"Rio de Janeiro";"1335";"1372";"1304";"1335";"1388";"1366";"1314";"1246";"1313";"...";"...";"...";"...";"...";"...";"..."
"São Paulo";"3592";"3499";"3400";"3226";"3510";"3368";"3169";"3015";"3151";"...";"...";"...";"...";"...";"...";"..."
"Paraná";"581";"545";"527";"479";"550";"560";"559";"450";"487";"...";"...";"...";"...";"...";"...";"..."
"Santa Catarina";"254";"252";"242";"250";"285";"239";"227";"216";"223";"...";"...";"...";"...";"...";"...";"..."
"Rio Grande do Sul";"520";"507";"499";"458";"496";"515";"555";"455";"529";"...";"...";"...";"...";"...";"...";"..."
"Mato Grosso do Sul";"120";"108";"105";"101";"137";"123";"111";"96";"111";"...";"...";"...";"...";"...";"...";"..."
"Mato Grosso";"164";"151";"120";"124";"167";"154";"148";"117";"158";"...";"...";"...";"...";"...";"...";"..."
"Goiás";"381";"349";"331";"306";"407";"399";"421";"405";"434";"...";"...";"...";"...";"...";"...";"..."
"Distrito Federal";"227";"200";"210";"200";"238";"234";"224";"210";"228";"...";"...";"...";"...";"...";"...";"..."
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua trimestral"

"Tabela 4093 - Pessoas de 14 anos ou mais de idade, total, na força de trabalho, ocupadas, desocupadas, fora da força de trabalho, e respectivas taxas e níveis, por sexo"
"Variável - Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Trimestre x Sexo"
"Brasil, Grande Região e Unidade da Federação";"1º trimestre 2018";"2º trimestre 2018";"3º trimestre 2018";"4º trimestre 2018";"1º trimestre 2019";"2º trimestre 2019";"3º trimestre 2019";"4º trimestre 2019";"1º trimestre 2020";"2º trimestre 2020";"3º trimestre 2020";"4º trimestre 2020";"1º trimestre 2021";"2º trimestre 2021";"3º trimestre 2021";"4º trimestre 2021"
"Brasil, Grande Região e Unidade da Federação";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total"
"Brasil";"61158";"61744";"61177";"61299";"61417";"60958";"61030";"61579";"63164";"72573";"72234";"69042";"68746";"67270";"65456";"64525"
"Norte";"5286";"5346";"5323";"5305";"5356";"5316";"5295";"5423";"5468";"...";"...";"...";"...";"...";"...";"..."
"Nordeste";"19533";"19921";"19542";"19518";"19722";"19655";"19664";"19829";"20189";"...";"...";"...";"...";"...";"...";"..."
"Sudeste";"23867";"23952";"23879";"24126";"24048";"23808";"23850";"24052";"24898";"...";"...";"...";"...";"...";"...";"..."
"Sul";"8235";"8327";"8271";"8220";"8176";"8146";"8178";"8132";"8344";"...";"...";"...";"...";"...";"...";"..."
"Centro-Oeste";"4237";"4197";"4162";"4131";"4115";"4032";"4044";"4142";"4265";"...";"...";"...";"...";"...";"...";"..."
"Rondônia";"496";"519";"502";"497";"499";"511";"497";"505";"502";"...";"...";"...";"...";"...";"...";"..."
"Acre";"260";"270";"269";"275";"286";"284";"290";"300";"310";"...";"...";"...";"...";"...";"...";"..."
"Amazonas";"1099";"1142";"1115";"1105";"1116";"1053";"1050";"1085";"1100";"...";"...";"...";"...";"...";"...";"..."
"Roraima";"139";"143";"143";"139";"134";"143";"143";"141";"147";"...";"...";"...";"...";"...";"...";"..."
"Pará";"2583";"2559";"2574";"2583";"2619";"2622";"2596";"2665";"2663";"...";"...";"...";"...";"...";"...";"..."
"Amapá";"227";"234";"232";"238";"230";"229";"233";"227";"240";"...";"...";"...";"...";"...";"...";"..."
"Tocantins";"481";"480";"488";"468";"471";"473";"486";"500";"505";"...";"...";"...";"...";"...";"...";"..."
"Maranhão";"2525";"2633";"2602";"2610";"2696";"2690";"2673";"2687";"2730";"...";"...";"...";"...";"...";"...";"..."
"Piauí";"1147";"1119";"1095";"1101";"1108";"1088";"1046";"1088";"1125";"...";"...";"...";"...";"...";"...";"..."
"Ceará";"3062";"3155";"3078";"3070";"3102";"3058";"3061";"3070";"3181";"...";"...";"...";"...";"...";"...";"..."
"Rio Grande do Norte";"1254";"1255";"1215";"1250";"1255";"1257";"1227";"1249";"1225";"...";"...";"...";"...";"...";"...";"..."
"Paraíba";"1411";"1440";"1410";"1417";"1456";"1464";"1477";"1480";"1488";"...";"...";"...";"...";"...";"...";"..."
"Pernambuco";"3251";"3282";"3274";"3229";"3238";"3309";"3328";"3377";"3598";"...";"...";"...";"...";"...";"...";"..."
"Alagoas";"1435";"1452";"1402";"1400";"1390";"1354";"1379";"1408";"1356";"...";"...";"...";"...";"...";"...";"..."
"Sergipe";"730";"744";"736";"737";"732";"711";"723";"691";"727";"...";"...";"...";"...";"...";"...";"..."
"Bahia";"4717";"4839";"4730";"4702";"4745";"4724";"4752";"4779";"4760";"...";"...";"...";"...";"...";"...";"..."
"Minas Gerais";"5900";"5886";"5865";"5940";"6005";"5909";"5856";"5921";"6114";"...";"...";"...";"...";"...";"...";"..."
"Espírito Santo";"1078";"1066";"1052";"1053";"1023";"981";"1018";"1057";"1084";"...";"...";"...";"...";"...";"...";"..."
